documento_id,questao,resposta_transcrita,url_resolucao,data_consulta,agente,situacao_conferencia,observacoes
ita-2017-matematica,21,121√2/12,https://poliedroresolve-api.sistemapoliedro.com.br/files/exam-files/ITA%202017%20-%20Matem%C3%A1tica.pdf,2026-07-17,Codex (transcrição e integração final),pronta; publicada no PDF," | evidência: resolução, pág. 21, resultado final emoldurado no fim da página"
ita-2017-matematica,22,S = {x ∈ ℝ | x < log_{8/9}(2)},https://poliedroresolve-api.sistemapoliedro.com.br/files/exam-files/ITA%202017%20-%20Matem%C3%A1tica.pdf,2026-07-17,Codex (transcrição e integração final),pronta; publicada no PDF," | evidência: resolução, pág. 22, última linha"
ita-2017-matematica,23,"a = -2√3; b = -1; raízes = {√3 + √2, √3 - √2, (1 + √7 i)/2, (1 - √7 i)/2}",https://poliedroresolve-api.sistemapoliedro.com.br/files/exam-files/ITA%202017%20-%20Matem%C3%A1tica.pdf,2026-07-17,Codex (transcrição e integração final),pronta; publicada no PDF," | evidência: resolução, pág. 23, bloco final após a fatoração"
ita-2017-matematica,24,150,https://poliedroresolve-api.sistemapoliedro.com.br/files/exam-files/ITA%202017%20-%20Matem%C3%A1tica.pdf,2026-07-17,Codex (transcrição e integração final),pronta; publicada no PDF," | evidência: resolução, pág. 24, resultado final emoldurado"
ita-2017-matematica,25,n máximo = 4,https://poliedroresolve-api.sistemapoliedro.com.br/files/exam-files/ITA%202017%20-%20Matem%C3%A1tica.pdf,2026-07-17,Codex (transcrição e integração final),pronta; publicada no PDF," | evidência: resolução, pág. 25, conclusão no fim da página"
ita-2017-matematica,26,,https://poliedroresolve-api.sistemapoliedro.com.br/files/exam-files/ITA%202017%20-%20Matem%C3%A1tica.pdf,2026-07-17,Codex (transcrição e integração final),"pendente; PDF público usa a frase padrão, texto abaixo é só para auditoria","A resposta final é exclusivamente gráfica; não foi copiada nem reformulada. | evidência: resolução, pág. 26, resposta apresentada somente como gráfico no fim da página"
ita-2017-matematica,27,a = -6,https://poliedroresolve-api.sistemapoliedro.com.br/files/exam-files/ITA%202017%20-%20Matem%C3%A1tica.pdf,2026-07-17,Codex (transcrição e integração final),pronta; publicada no PDF," | evidência: resolução, pág. 27, última linha"
ita-2017-matematica,28,2(√6 + 9)π,https://poliedroresolve-api.sistemapoliedro.com.br/files/exam-files/ITA%202017%20-%20Matem%C3%A1tica.pdf,2026-07-17,Codex (transcrição e integração final),pronta; publicada no PDF," | evidência: resolução, pág. 28, resultado final emoldurado"
ita-2017-matematica,29,S = {2π/3 + 2kπ; -2π/3 + 2kπ; 2 arcsen(√3/3) + 2kπ; -2 arcsen(√3/3) + 2kπ | k ∈ ℤ},https://poliedroresolve-api.sistemapoliedro.com.br/files/exam-files/ITA%202017%20-%20Matem%C3%A1tica.pdf,2026-07-17,Codex (transcrição e integração final),pronta; publicada no PDF," | evidência: resolução, pág. 29, conjunto solução nas linhas finais"
ita-2017-matematica,30,A = √3,https://poliedroresolve-api.sistemapoliedro.com.br/files/exam-files/ITA%202017%20-%20Matem%C3%A1tica.pdf,2026-07-17,Codex (transcrição e integração final),pronta; publicada no PDF," | evidência: resolução, pág. 30, última linha"
